CreatedDate,CreatedTime,Symbol,Type,Volume,Price,Side,CallPut,Strike,Spot,Premium,ExpirationDate,Color,ImpliedVolatility,Dte,ER,StockEtf,Sector,Uoa,Weekly,MktCap,OI
6/22/2021,09:30:00,OCGN,BLOCK,5000,0.65,A,PUT,7,7.3284,13000,07-02-2021,WHITE,1.71,10,F,STOCK,Health Care,F,F,1466000000,284
6/22/2021,09:30:00,WISH,SWEEP,219,0.399,AA,CALL,20,13.37,8733,6/25/2021,WHITE,4.01,3,F,STOCK,Consumer Discretionary,F,T,7916000000,26254
6/22/2021,09:30:00,SENS,SWEEP,781,0.35,AA,PUT,3,3.085,27308,7/16/2021,WHITE,1.28,24,F,STOCK,Health Care,F,F,1382000000,18722
6/22/2021,09:30:00,WISH,SWEEP,158,0.947,AA,CALL,15,13.37,14955,6/25/2021,WHITE,3.2,3,F,STOCK,Consumer Discretionary,F,T,7916000000,20624
6/22/2021,09:30:00,WISH,SWEEP,228,1.249,AA,CALL,14,13.37,28474,6/25/2021,WHITE,3.13,3,F,STOCK,Consumer Discretionary,F,T,7916000000,15178
6/22/2021,09:30:01,MESO,BLOCK,300,0.75,A,CALL,10,8.53,22500,8/20/2021,YELLOW,0.91,59,F,STOCK,Health Care,F,F,0,11
6/22/2021,09:30:02,NIO,BLOCK,207,0.748,A,PUT,45,45.96,15488,6/25/2021,WHITE,0.71,3,F,STOCK,Consumer Discretionary,F,T,51740000000,5848
6/22/2021,09:30:02,BABA,SWEEP,1004,3.051,AA,PUT,210,210.2801,306295,07-02-2021,WHITE,0.24,10,F,STOCK,Information Technology,F,F,5.20E+11,2924
6/22/2021,09:30:03,UAL,BLOCK,250,1.08,A,PUT,52,55.43,27000,7/23/2021,YELLOW,0.4,31,F,STOCK,Industrials,F,F,18020000000,143
6/22/2021,09:30:04,BABA,BLOCK,859,14.1,A,PUT,200,210.41,1211190,1/21/2022,WHITE,0.34,213,F,STOCK,Information Technology,F,F,5.20E+11,40476
6/22/2021,09:30:06,AAPL,BLOCK,2593,0.18,A,CALL,155,132.18,46674,7/30/2021,YELLOW,0.27,38,F,STOCK,Information Technology,F,F,2.21E+12,260
6/22/2021,09:30:06,RIDE,BLOCK,500,2.15,A,PUT,7.5,10.02,107500,12/17/2021,WHITE,1.44,178,F,STOCK,None,F,F,1778000000,2207
6/22/2021,09:30:06,GOEV,BLOCK,399,0.45,A,CALL,10,9.525,17955,07-02-2021,WHITE,1.02,10,F,STOCK,None,F,F,2320000000,682
6/22/2021,09:30:08,SNDL,BLOCK,600,0.35,A,PUT,1,0.8903,21000,10/15/2021,WHITE,1.46,115,F,STOCK,Consumer Staples,F,F,836000000,21692
6/22/2021,09:30:09,GME,SWEEP,529,0.2,A,CALL,680,215.9199,10580,6/25/2021,WHITE,4.77,3,F,STOCK,Consumer Discretionary,F,T,14390000000,8740
6/22/2021,09:30:12,SNDL,SWEEP,234,0.03,A,CALL,1,0.8903,702,6/25/2021,WHITE,2.11,3,F,STOCK,Consumer Staples,F,T,836000000,75118
6/22/2021,09:30:14,NKLA,BLOCK,400,1.85,A,PUT,12.5,15.82,74000,10/15/2021,WHITE,1.07,115,F,STOCK,None,F,F,6356000000,3414
6/22/2021,09:30:15,LAC,SWEEP,300,0.6,A,CALL,17.5,13.655,17990,8/20/2021,WHITE,0.78,59,F,STOCK,Materials,F,F,1649000000,3601
6/22/2021,09:30:15,OTLY,BLOCK,450,0.4,A,PUT,22.5,26.31,18000,7/16/2021,WHITE,0.67,24,F,STOCK,Consumer Staples,F,F,0,2319
6/22/2021,09:30:15,AAPL,SWEEP,230,0.69,A,PUT,131,132.33,15870,6/25/2021,WHITE,0.26,3,F,STOCK,Information Technology,F,T,2.21E+12,9320
6/22/2021,09:30:15,GM,SWEEP,200,0.77,A,CALL,62.5,59.3199,15400,7/16/2021,WHITE,0.31,24,F,STOCK,Consumer Discretionary,F,F,86024000000,16806
6/22/2021,09:30:18,UTZ,SWEEP,150,1.199,A,CALL,22.5,22.99,17981,7/16/2021,WHITE,0.39,24,F,STOCK,None,T,F,3093000000,213
6/22/2021,09:30:18,ROKU,SWEEP,152,5.184,AA,CALL,400,387.32,78797,6/25/2021,WHITE,0.72,3,F,STOCK,Communication Services,F,T,50673000000,6532
6/22/2021,09:30:19,AHT,SWEEP,200,1.8,A,CALL,5,4.9115,36000,12/17/2021,WHITE,1.36,178,F,STOCK,Real Estate,F,F,739000000,12491
6/22/2021,09:30:20,WISH,BLOCK,264,0.4,A,CALL,20,13.422,10560,6/25/2021,WHITE,3.99,3,F,STOCK,Consumer Discretionary,F,T,7916000000,26254
6/22/2021,09:30:21,ROKU,SWEEP,154,5.628,AA,CALL,400,386.51,86668,6/25/2021,WHITE,0.78,3,F,STOCK,Communication Services,F,T,50673000000,6532
6/22/2021,09:30:21,ET,BLOCK,300,0.58,A,PUT,10,10.98,17400,10/15/2021,WHITE,0.45,115,F,STOCK,Energy,F,F,29765000000,6874
6/22/2021,09:30:23,ROKU,SWEEP,203,6.035,AA,CALL,400,385.91,122516,6/25/2021,WHITE,0.82,3,F,STOCK,Communication Services,F,T,50673000000,6532
6/22/2021,09:30:29,AAPL,SWEEP,410,0.838,AA,CALL,133,132.04,34360,6/25/2021,WHITE,0.26,3,F,STOCK,Information Technology,F,T,2.21E+12,35850
6/22/2021,09:30:32,FUBO,SWEEP,200,0.765,AA,CALL,35,32.4638,15291,6/25/2021,WHITE,1.43,3,F,STOCK,Information Technology,F,T,4441000000,7672
6/22/2021,09:30:33,JPM,BLOCK,274,1.16,A,PUT,149,150.39,31784,6/25/2021,WHITE,0.33,3,F,STOCK,Financials,F,T,4.55E+11,2566
6/22/2021,09:30:34,NVDA,SWEEP,101,10.957,A,CALL,750,742.5332,110669,6/25/2021,WHITE,0.53,3,F,STOCK,Information Technology,F,T,4.59E+11,6503
6/22/2021,09:30:40,AAPL,SWEEP,250,0.87,A,CALL,133,132.275,21750,6/25/2021,WHITE,0.25,3,F,STOCK,Information Technology,F,T,2.21E+12,35850
6/22/2021,09:30:41,SOFI,BLOCK,200,0.8,A,CALL,25,22.6501,16000,7/16/2021,WHITE,0.7,24,F,STOCK,None,F,F,17999000000,31786
6/22/2021,09:30:44,NVDA,SWEEP,110,11.723,AA,CALL,750,742.34,128951,6/25/2021,WHITE,0.56,3,F,STOCK,Information Technology,F,T,4.59E+11,6503
6/22/2021,09:30:44,GSK,SWEEP,250,0.6,A,PUT,39,39.45,14990,7/16/2021,YELLOW,0.21,24,F,STOCK,Health Care,F,F,1.23E+11,136
6/22/2021,09:30:51,F,BLOCK,200,0.59,A,CALL,14.5,15.0201,11800,6/25/2021,WHITE,0.45,3,F,STOCK,Consumer Discretionary,F,T,58996000000,7475
6/22/2021,09:30:52,GM,SWEEP,510,0.24,A,CALL,66,59.41,12240,7/16/2021,YELLOW,0.31,24,F,STOCK,Consumer Discretionary,F,F,86024000000,190
6/22/2021,09:30:53,GM,SWEEP,156,0.65,A,CALL,61,59.41,10140,07-02-2021,WHITE,0.32,10,F,STOCK,Consumer Discretionary,F,F,86024000000,1513
6/22/2021,09:30:54,WISH,SWEEP,171,0.399,A,CALL,20,13.69,6820,6/25/2021,WHITE,3.83,3,F,STOCK,Consumer Discretionary,F,T,7916000000,26254
6/22/2021,09:31:00,DDD,BLOCK,205,5.5,A,CALL,25,30.7372,112750,6/25/2021,WHITE,0,3,F,STOCK,Information Technology,T,T,3611000000,432
6/22/2021,09:31:05,AAPL,SWEEP,150,1.32,A,CALL,132,132.305,19800,6/25/2021,WHITE,0.24,3,F,STOCK,Information Technology,F,T,2.21E+12,30163
6/22/2021,09:31:07,UTZ,SWEEP,200,0.75,A,CALL,25,23,15000,8/20/2021,YELLOW,0.39,59,F,STOCK,None,T,F,3093000000,54
6/22/2021,09:31:08,F,BLOCK,302,0.61,A,CALL,15,15.027,18422,7/16/2021,WHITE,0.38,24,F,STOCK,Consumer Discretionary,F,F,58996000000,49455
